participante,sesion,intensidad,intensidad_num,fase,fase_num,feature1,feature2,feature3,feature4,feature5,feature6,fatiga_fisica,fatiga_mental
1,1,low,1,pre,1,0.5,1.2,3.4,2.2,0.1,1.0,20,30
1,2,medium,2,mid,2,0.6,1.1,3.5,2.4,0.2,0.9,25,35
1,3,high,3,post,3,0.4,1.4,3.0,2.1,0.3,1.2,30,40
2,1,low,1,pre,1,0.7,1.0,3.6,2.3,0.2,1.1,22,28
2,2,medium,2,mid,2,0.55,1.25,3.2,2.0,0.15,1.05,27,33
2,3,high,3,post,3,0.65,1.3,3.7,2.6,0.25,0.95,32,38
3,1,low,1,pre,1,0.45,1.15,3.1,2.15,0.18,1.02,21,29
3,2,medium,2,mid,2,0.6,1.05,3.4,2.35,0.22,1.08,26,36
3,3,high,3,post,3,0.8,1.4,3.8,2.7,0.28,0.98,31,39
4,1,low,1,pre,1,0.52,1.18,3.33,2.18,0.19,1.03,19,27
4,2,medium,2,mid,2,0.62,1.12,3.45,2.28,0.21,1.06,24,34
4,3,high,3,post,3,0.72,1.35,3.65,2.55,0.27,1.00,29,37
5,1,low,1,pre,1,0.49,1.22,3.22,2.12,0.16,1.04,23,31
5,2,medium,2,mid,2,0.58,1.08,3.48,2.26,0.20,1.07,28,32
5,3,high,3,post,3,0.75,1.38,3.75,2.65,0.26,0.97,33,41
